마사, 99, 180
나아, 42, 163
마바, 73, 191
타사, 83, 178
자하, 77, 147
아파, 88, 152
자나, 56, 193
가가, 65, 188
가하, 58, 172
카가, 71, 144
가다, 82, 179
차다, 67, 178
라라, 75, 145
바차, 75, 143
하하, 91, 142
자아, 60, 174
라카, 73, 147
바마, 92, 172
하차, 92, 145
차카, 80, 162
타나, 92, 194
아카, 46, 161
차카, 54, 155
라자, 95, 168
바나, 77, 177
다차, 67, 148
타자, 76, 151
사타, 96, 196
바자, 91, 155
아아, 84, 189
사나, 61, 157
자라, 69, 142
사하, 61, 173
다하, 47, 185
차바, 66, 167
마라, 98, 180
마라, 74, 167
사하, 66, 165
하가, 75, 149
아사, 71, 168
차카, 88, 194
파나, 74, 185
파다, 63, 176
마카, 96, 186
차자, 48, 196
가파, 42, 162
나가, 43, 165
카나, 95, 182
마가, 85, 155
타자, 59, 180
다차, 40, 147
타바, 74, 143
파카, 56, 143
하타, 72, 154
하아, 58, 162
바차, 92, 197
가마, 50, 151
가사, 80, 150
사아, 63, 141
하자, 42, 172
파아, 63, 156
파라, 90, 154
다나, 41, 176
차나, 67, 175
타라, 62, 160
다가, 85, 144
다사, 50, 174
가자, 76, 162
바하, 60, 162
라카, 40, 185
사라, 83, 199
카라, 98, 182
라타, 84, 180
하카, 54, 170
자하, 47, 165
라바, 43, 172
라카, 40, 144
카바, 95, 171
파자, 76, 141
차사, 90, 151
사카, 95, 199
카라, 79, 145
가나, 46, 199
자파, 49, 187
하바, 49, 179
라바, 83, 170
마차, 73, 156
바마, 85, 155
바다, 71, 184
파마, 99, 155
차자, 82, 192
가마, 84, 176
다나, 80, 194
차사, 93, 159
바라, 64, 158
타차, 53, 151
하바, 74, 194
가가, 85, 167
사자, 79, 155
파다, 88, 153
사파, 84, 193
아아, 41, 179
자파, 87, 172
가마, 89, 186
아자, 65, 144
마카, 44, 175
다카, 90, 172
자가, 81, 143
라파, 73, 191
자타, 98, 197
타카, 98, 185
자파, 72, 177
가하, 80, 195
라자, 59, 158
사나, 48, 186
마차, 82, 174
자라, 66, 148
라가, 97, 177
하타, 62, 163
카파, 95, 187
사바, 80, 177
파파, 91, 140
마바, 94, 154
차다, 52, 190
다자, 64, 180
파가, 81, 148
다하, 80, 176
자라, 70, 148
바타, 68, 173
아파, 78, 142
하자, 60, 170
바나, 60, 184
사아, 61, 151
다타, 97, 189
마가, 95, 181
다바, 71, 194
자타, 56, 144
라다, 84, 167
아사, 60, 173
자다, 71, 179
바하, 42, 148
가바, 83, 190
자하, 65, 180
타파, 95, 162
타라, 75, 162
다카, 59, 147
자가, 78, 166
자하, 82, 172
마마, 56, 183
라차, 72, 193
사바, 75, 174
하아, 60, 165
라하, 51, 145
파차, 80, 145
가아, 55, 175
마가, 77, 176
하나, 78, 196
파파, 83, 186
아하, 60, 187
차가, 88, 151
나카, 83, 148
파마, 51, 176
파마, 70, 141
차타, 73, 165
자바, 67, 143
차다, 43, 176
다차, 87, 176
파카, 61, 180
파사, 70, 140
자파, 43, 158
아파, 86, 182
카파, 95, 162
아카, 73, 191
사라, 49, 153
나아, 80, 190
가카, 88, 143
자타, 96, 193
사사, 64, 164
차차, 45, 162
마파, 79, 149
나차, 83, 195
타마, 51, 157
카타, 61, 165
아바, 98, 194
차가, 66, 141
사타, 71, 148
나하, 66, 171
나아, 77, 180
타카, 64, 143
자파, 60, 144
사하, 80, 152
타가, 99, 153
사라, 78, 154
타하, 84, 157
다자, 67, 194
사자, 81, 168
사카, 81, 181
사타, 72, 151
다나, 84, 177
하차, 93, 192
다하, 59, 144
가카, 70, 162
자차, 61, 185
차사, 99, 190
바하, 97, 181
아다, 66, 146
카나, 56, 195
하아, 75, 175
바자, 58, 187
파사, 48, 192
바자, 93, 164
마파, 60, 161
라가, 69, 199
자아, 69, 141
가파, 73, 191
바차, 62, 198
마파, 45, 185
가가, 89, 144
마카, 65, 182
나자, 49, 188
다하, 42, 168
아나, 96, 195
차카, 93, 181
자차, 46, 194
자다, 89, 199
사마, 99, 145
다아, 53, 161
차하, 85, 197
자카, 89, 181
타사, 94, 170
바차, 40, 195
라라, 63, 193
나차, 66, 175
가타, 67, 197
사파, 68, 184
나마, 68, 169
하자, 77, 159
사타, 57, 161
자가, 53, 169
마자, 89, 152
타다, 82, 180
사차, 61, 181
사파, 83, 188
카다, 85, 160
하하, 96, 182
가라, 44, 184
바나, 86, 147
가바, 49, 185
자차, 94, 155
마마, 61, 196
자차, 51, 169
하가, 72, 194
라가, 54, 162
차하, 54, 188
타파, 67, 197
바타, 67, 179
카바, 70, 188
파타, 69, 158
카타, 86, 193
바파, 75, 165
라다, 86, 179
바하, 81, 150
타파, 81, 188
차바, 88, 152
하가, 99, 189
나타, 82, 182
라차, 69, 142
바바, 44, 191
카파, 81, 181
카가, 97, 178
파하, 86, 192
사라, 80, 144
다사, 78, 196
마나, 95, 154
자타, 86, 151
타타, 45, 199
카카, 97, 175
사다, 78, 171
아나, 81, 162
나다, 92, 147
마나, 59, 188
사타, 83, 147
나자, 97, 190
타마, 59, 175
하사, 67, 151
아파, 52, 155
아타, 63, 196
타파, 64, 167
카자, 91, 182
라하, 82, 147
파사, 88, 177
나마, 93, 146
파차, 90, 193
바바, 62, 174
하마, 96, 157
자파, 43, 183
파아, 83, 191
바타, 64, 142
카라, 99, 170
하타, 58, 157
마차, 60, 189
파마, 49, 181
다차, 75, 195
타아, 79, 194
하바, 66, 152
바아, 84, 168
카파, 42, 166
파파, 95, 186
라라, 64, 199
마바, 60, 150
카라, 90, 149
나라, 67, 160
카타, 96, 190
나카, 67, 193
하나, 88, 180
사바, 82, 158
카가, 83, 167
마가, 62, 144
자하, 78, 196
사하, 73, 156
다라, 46, 196
바가, 66, 164
카아, 91, 147
카파, 74, 147
나자, 92, 189
타마, 52, 179
차바, 49, 150
가사, 77, 155
마마, 87, 142
파바, 68, 154
나카, 43, 163
자자, 42, 184
나파, 57, 154
다가, 46, 146
가파, 54, 143
나사, 90, 199
나나, 94, 140
바사, 53, 176
파자, 82, 184
타자, 78, 159
나가, 92, 142
차가, 76, 182
차파, 86, 178
차마, 66, 198
바차, 87, 160
가라, 71, 178
다바, 99, 167
하라, 41, 167
마마, 51, 174
라차, 46, 158
다아, 40, 175
아아, 62, 186
마하, 55, 142
카다, 88, 186
자다, 52, 172
차자, 81, 193
카차, 44, 142
바아, 46, 190
자차, 43, 158
차자, 53, 146
사차, 54, 196
마자, 62, 163
파카, 75, 179
하하, 41, 150
타차, 46, 194
마마, 78, 154
나차, 51, 172
라차, 44, 143
차바, 98, 159
바마, 71, 195
카하, 97, 168
가다, 65, 180
라나, 42, 192
타사, 44, 148
바가, 95, 149
가카, 70, 189
마아, 82, 154
바가, 89, 158
가아, 43, 170
자가, 64, 191
마차, 57, 178
나차, 99, 150
파바, 76, 198
카마, 71, 192
아라, 44, 184
가바, 44, 190
바자, 41, 175
파라, 96, 195
마다, 51, 147
사사, 91, 194
아라, 73, 193
하파, 44, 142
자라, 96, 158
바타, 72, 155
차파, 44, 149
바다, 46, 157
가차, 66, 144
차다, 53, 146
